STT,Tên chức năng,Tác nhân,Transaction,Mô tả,Phân loại BMT,Độ phức tạp,Đã update 3 phụ lục
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chọn phân trang để xem danh sách thông tin hỏi đáp, vướng mắc pháp lý;
Hệ thống hiển thị danh sách thông tin hỏi đáp, vướng mắc pháp lý theo phân trang đã chọn.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết thông tin hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị thông tin chi tiết hỏi đáp, vướng mắc pháp lý.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP thêm mới thông tin hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị màn hình thêm mới hỏi đáp, vướng mắc pháp lý.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chỉnh sửa thông tin hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị màn hình chỉnh sửa hỏi đáp, vướng mắc pháp lý.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xóa thông tin hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị màn hình xác nhận trước khi xóa hỏi đáp, vướng mắc pháp lý.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xuất danh sách thông tin hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và thực hiện xuất dưới dạng excel thông tin hỏi đáp, vướng mắc pháp lý.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP làm mới dữ liệu danh sách thông tin hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và cập nhật dữ liệu danh sách thông tin hỏi đáp, vướng mắc pháp lý mới nhất.",,,,
11,"Tìm kiếm hỏi đáp, vướng mắc được tổng hợp","Cán bộ nghiệp vụ TW,BN,ĐP",,"Cung cấp công cụ tìm kiếm toàn văn, nâng cao theo lĩnh vực, thời gian đối với các yêu cầu hỏi đáp đã tổng hợp.",B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP nhập từ khóa tìm kiếm thông tin hỏi đáp, vướng mắc được tổng hợp;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng với điều kiện tìm kiếm.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP lọc theo thời gian để tìm kiếm thông tin hỏi đáp, vướng mắc được tổng hợp;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo điều kiện lọc.",,,,
